holding_id,portfolio_id,instrument_id,snapshot_date,quantity,market_value_local,local_currency,market_value_chf,weight_pct,asset_class,sub_class,notes
SH-PF14A-001-A,PF-0014A,INS-0003,2025-12-31,1200000,114000000,HKD,13680000,37.5,Equity,Single Stock,SHK Properties — Dec 31 2025
SH-PF14A-002-A,PF-0014A,INS-0004,2025-12-31,800000,30400000,HKD,3648000,10.0,Equity,Single Stock,Hang Lung Dec 2025
SH-PF14A-003-A,PF-0014A,INS-0002,2025-12-31,500000,30500000,HKD,3660000,10.1,Equity,REIT,Link REIT Dec 2025
SH-PF14A-004-A,PF-0014A,INS-0010,2025-12-31,150000,34500000,HKD,4140000,11.4,Equity,Single Stock,HKEX Dec 2025
SH-PF14A-005-A,PF-0014A,INS-0008,2025-12-31,2500000,2500000,USD,2325000,6.4,Fixed Income,Corporate Bond,HSBC HK bond Dec 2025
SH-PF14A-006-A,PF-0014A,INS-0009,2025-12-31,2000000,2000000,USD,1860000,5.1,Fixed Income,Corporate Bond,MTR bond Dec 2025
SH-PF14A-007-A,PF-0014A,INS-0048,2025-12-31,8000000,8000000,HKD,960000,2.6,Cash,Cash Deposit,HKD cash Dec 2025
SH-PF14A-008-A,PF-0014A,INS-0049,2025-12-31,5000000,5000000,USD,4650000,12.8,Cash,Cash Deposit,USD cash Dec 2025
SH-PF14A-009-A,PF-0014A,INS-0001,2025-12-31,200000,14600000,HKD,1752000,4.8,Equity,ETF,HK broad ETF Dec 2025
SH-PF14A-010-A,PF-0014A,INS-0013,2025-12-31,100000,14800000,HKD,1776000,4.9,Equity,Single Stock,Hang Seng Bank Dec 2025
SH-PF14B-001-A,PF-0014B,INS-0005,2025-12-31,5000000,5000000,HKD,600000,38.8,Structured,Capital Protected Note,JB HK Property Note Dec 2025
SH-PF14B-002-A,PF-0014B,INS-0015,2025-12-31,4000000,4000000,HKD,480000,31.1,Structured,Autocallable Note,Autocallable HK RE Dec 2025 — at par
SH-PF14B-003-A,PF-0014B,INS-0007,2025-12-31,10000,1490000,USD,1385700,89.9,Equity,Single Stock,IBM Dec 2025
SH-PF14B-004-A,PF-0014B,INS-0048,2025-12-31,2000000,2000000,HKD,240000,15.6,Cash,Cash Deposit,HKD cash Dec 2025
SH-PF14A-001-B,PF-0014A,INS-0003,2026-02-27,1200000,106200000,HKD,12744000,35.8,Equity,Single Stock,SHK Properties Feb 27 — post tariff shock
SH-PF14A-002-B,PF-0014A,INS-0004,2026-02-27,800000,27200000,HKD,3264000,9.2,Equity,Single Stock,Hang Lung Feb 27
SH-PF14A-003-B,PF-0014A,INS-0002,2026-02-27,500000,28500000,HKD,3420000,9.6,Equity,REIT,Link REIT Feb 27
SH-PF14A-004-B,PF-0014A,INS-0010,2026-02-27,150000,31500000,HKD,3780000,10.6,Equity,Single Stock,HKEX Feb 27
SH-PF14A-005-B,PF-0014A,INS-0008,2026-02-27,2500000,2500000,USD,2325000,6.5,Fixed Income,Corporate Bond,HSBC bond Feb 27
SH-PF14A-006-B,PF-0014A,INS-0009,2026-02-27,2000000,2000000,USD,1860000,5.2,Fixed Income,Corporate Bond,MTR bond Feb 27
SH-PF14A-007-B,PF-0014A,INS-0048,2026-02-27,8000000,8000000,HKD,960000,2.7,Cash,Cash Deposit,HKD cash Feb 27
SH-PF14A-008-B,PF-0014A,INS-0049,2026-02-27,5000000,5000000,USD,4650000,13.1,Cash,Cash Deposit,USD cash Feb 27
SH-PF14A-009-B,PF-0014A,INS-0001,2026-02-27,200000,13400000,HKD,1608000,4.5,Equity,ETF,HK broad ETF Feb 27
SH-PF14A-010-B,PF-0014A,INS-0013,2026-02-27,100000,13600000,HKD,1632000,4.6,Equity,Single Stock,Hang Seng Feb 27
SH-PF14B-001-B,PF-0014B,INS-0005,2026-02-27,5000000,5000000,HKD,600000,39.2,Structured,Capital Protected Note,JB HK Property Note Feb 27
SH-PF14B-002-B,PF-0014B,INS-0015,2026-02-27,4000000,3800000,HKD,456000,29.9,Structured,Autocallable Note,Autocallable HK RE Feb 27 — marked below par
SH-PF14B-003-B,PF-0014B,INS-0007,2026-02-27,10000,1450000,USD,1348500,88.4,Equity,Single Stock,IBM Feb 27
SH-PF14B-004-B,PF-0014B,INS-0048,2026-02-27,2000000,2000000,HKD,240000,15.7,Cash,Cash Deposit,HKD cash Feb 27
SH-PF14A-001-C,PF-0014A,INS-0003,2026-03-31,1200000,104400000,HKD,12528000,35.2,Equity,Single Stock,SHK Properties Mar 31
SH-PF14A-002-C,PF-0014A,INS-0004,2026-03-31,800000,26800000,HKD,3216000,9.0,Equity,Single Stock,Hang Lung Mar 31
SH-PF14A-003-C,PF-0014A,INS-0002,2026-03-31,500000,28200000,HKD,3384000,9.5,Equity,REIT,Link REIT Mar 31
SH-PF14A-004-C,PF-0014A,INS-0010,2026-03-31,150000,30900000,HKD,3708000,10.4,Equity,Single Stock,HKEX Mar 31
SH-PF14A-005-C,PF-0014A,INS-0008,2026-03-31,2500000,2500000,USD,2325000,6.5,Fixed Income,Corporate Bond,HSBC bond Mar 31
SH-PF14A-006-C,PF-0014A,INS-0009,2026-03-31,2000000,2000000,USD,1860000,5.2,Fixed Income,Corporate Bond,MTR bond Mar 31
SH-PF14A-007-C,PF-0014A,INS-0048,2026-03-31,8000000,8000000,HKD,960000,2.7,Cash,Cash Deposit,HKD cash Mar 31
SH-PF14A-008-C,PF-0014A,INS-0049,2026-03-31,5000000,5000000,USD,4650000,13.1,Cash,Cash Deposit,USD cash Mar 31
SH-PF14A-009-C,PF-0014A,INS-0001,2026-03-31,200000,13200000,HKD,1584000,4.4,Equity,ETF,HK broad ETF Mar 31
SH-PF14A-010-C,PF-0014A,INS-0013,2026-03-31,100000,13400000,HKD,1608000,4.5,Equity,Single Stock,Hang Seng Bank Mar 31
SH-PF14B-001-C,PF-0014B,INS-0005,2026-03-31,5000000,5000000,HKD,600000,38.5,Structured,Capital Protected Note,JB HK Property Note Mar 31
SH-PF14B-002-C,PF-0014B,INS-0015,2026-03-31,4000000,3760000,HKD,451200,29.1,Structured,Autocallable Note,Autocallable HK RE Mar 31
SH-PF14B-003-C,PF-0014B,INS-0007,2026-03-31,10000,1460000,USD,1357800,87.7,Equity,Single Stock,IBM Mar 31
SH-PF14B-004-C,PF-0014B,INS-0048,2026-03-31,2000000,2000000,HKD,240000,15.5,Cash,Cash Deposit,HKD cash Mar 31
SH-PF14A-001-D,PF-0014A,INS-0003,2026-06-30,1200000,110400000,HKD,13248000,36.2,Equity,Single Stock,SHK Properties Jun 30 — partial recovery
SH-PF14A-002-D,PF-0014A,INS-0004,2026-06-30,800000,28000000,HKD,3360000,9.2,Equity,Single Stock,Hang Lung Jun 30
SH-PF14A-003-D,PF-0014A,INS-0002,2026-06-30,500000,29200000,HKD,3504000,9.6,Equity,REIT,Link REIT Jun 30
SH-PF14A-004-D,PF-0014A,INS-0010,2026-06-30,150000,32400000,HKD,3888000,10.6,Equity,Single Stock,HKEX Jun 30
SH-PF14A-005-D,PF-0014A,INS-0008,2026-06-30,2500000,2500000,USD,2325000,6.4,Fixed Income,Corporate Bond,HSBC bond Jun 30
SH-PF14A-006-D,PF-0014A,INS-0009,2026-06-30,2000000,2000000,USD,1860000,5.1,Fixed Income,Corporate Bond,MTR bond Jun 30
SH-PF14A-007-D,PF-0014A,INS-0048,2026-06-30,10000000,10000000,HKD,1200000,3.3,Cash,Cash Deposit,HKD cash Jun 30 — increased ahead of cash need
SH-PF14A-008-D,PF-0014A,INS-0049,2026-06-30,5000000,5000000,USD,4650000,12.7,Cash,Cash Deposit,USD cash Jun 30
SH-PF14A-009-D,PF-0014A,INS-0001,2026-06-30,200000,13800000,HKD,1656000,4.5,Equity,ETF,HK broad ETF Jun 30
SH-PF14A-010-D,PF-0014A,INS-0013,2026-06-30,100000,13900000,HKD,1668000,4.6,Equity,Single Stock,Hang Seng Bank Jun 30
SH-PF14B-001-D,PF-0014B,INS-0005,2026-06-30,5000000,5000000,HKD,600000,38.8,Structured,Capital Protected Note,JB HK Property Note Jun 30
SH-PF14B-002-D,PF-0014B,INS-0015,2026-06-30,4000000,3900000,HKD,468000,30.5,Structured,Autocallable Note,Autocallable HK RE Jun 30
SH-PF14B-003-D,PF-0014B,INS-0007,2026-06-30,10000,1510000,USD,1404300,91.5,Equity,Single Stock,IBM Jun 30
SH-PF14B-004-D,PF-0014B,INS-0048,2026-06-30,2000000,2000000,HKD,240000,15.6,Cash,Cash Deposit,HKD cash Jun 30
SH-PF19A-001-A,PF-0019A,INS-0018,2025-12-31,15000000,15000000,USD,13950000,13.0,Fixed Income,Corporate Bond,DP World bond Dec 2025
SH-PF19A-002-A,PF-0019A,INS-0019,2025-12-31,500000,9200000,USD,8556000,8.0,Equity,MLP,Energy Transfer Dec 2025
SH-PF19A-003-A,PF-0019A,INS-0020,2025-12-31,1,22500000,USD,20925000,19.5,Alternative,Private Infrastructure,Gulf Energy Fund Dec 2025
SH-PF19A-004-A,PF-0019A,INS-0024,2025-12-31,10000000,10000000,USD,9300000,8.6,Structured,Principal At Risk Note,JB Shipping/Energy Note Dec 2025 — at par
SH-PF19A-005-A,PF-0019A,INS-0021,2025-12-31,50000,21000000,USD,19530000,18.1,Equity,Single Stock,Microsoft Dec 2025
SH-PF19A-006-A,PF-0019A,INS-0022,2025-12-31,30000,15800000,USD,14694000,13.6,Equity,Single Stock,Amazon Dec 2025
SH-PF19A-007-A,PF-0019A,INS-0023,2025-12-31,20000,6200000,USD,5766000,5.3,Equity,Single Stock,Alphabet Dec 2025
SH-PF19A-008-A,PF-0019A,INS-0038,2025-12-31,5000000,5000000,USD,4650000,4.3,Fixed Income,Government Bond,AD sovereign Dec 2025
SH-PF19A-009-A,PF-0019A,INS-0039,2025-12-31,5000000,5000000,USD,4650000,4.3,Fixed Income,Sukuk,Aramco sukuk Dec 2025
SH-PF19A-010-A,PF-0019A,INS-0049,2025-12-31,10500000,10500000,USD,9765000,9.0,Cash,Cash Deposit,USD cash Dec 2025
SH-PF19A-001-B,PF-0019A,INS-0018,2026-02-27,15000000,15000000,USD,13950000,12.9,Fixed Income,Corporate Bond,DP World bond Feb 27
SH-PF19A-002-B,PF-0019A,INS-0019,2026-02-27,500000,7800000,USD,7254000,6.7,Equity,MLP,Energy Transfer Feb 27 — Hormuz concern
SH-PF19A-003-B,PF-0019A,INS-0020,2026-02-27,1,21000000,USD,19530000,18.0,Alternative,Private Infrastructure,Gulf Energy Fund Feb 27 — marked down
SH-PF19A-004-B,PF-0019A,INS-0024,2026-02-27,10000000,8800000,USD,8184000,7.6,Structured,Principal At Risk Note,JB Shipping/Energy Note Feb 27 — below par (Hormuz)
SH-PF19A-005-B,PF-0019A,INS-0021,2026-02-27,50000,19500000,USD,18135000,16.8,Equity,Single Stock,Microsoft Feb 27
SH-PF19A-006-B,PF-0019A,INS-0022,2026-02-27,30000,14200000,USD,13206000,12.2,Equity,Single Stock,Amazon Feb 27
SH-PF19A-007-B,PF-0019A,INS-0023,2026-02-27,20000,5600000,USD,5208000,4.8,Equity,Single Stock,Alphabet Feb 27
SH-PF19A-008-B,PF-0019A,INS-0038,2026-02-27,5000000,5000000,USD,4650000,4.3,Fixed Income,Government Bond,AD sovereign Feb 27
SH-PF19A-009-B,PF-0019A,INS-0039,2026-02-27,5000000,5000000,USD,4650000,4.3,Fixed Income,Sukuk,Aramco sukuk Feb 27
SH-PF19A-010-B,PF-0019A,INS-0049,2026-02-27,14600000,14600000,USD,13578000,12.6,Cash,Cash Deposit,USD cash Feb 27 — raised cash amid volatility
SH-PF19A-001-C,PF-0019A,INS-0018,2026-03-31,15000000,15000000,USD,13950000,12.8,Fixed Income,Corporate Bond,DP World bond Mar 31
SH-PF19A-002-C,PF-0019A,INS-0019,2026-03-31,500000,7200000,USD,6696000,6.2,Equity,MLP,Energy Transfer Mar 31
SH-PF19A-003-C,PF-0019A,INS-0020,2026-03-31,1,20000000,USD,18600000,17.1,Alternative,Private Infrastructure,Gulf Energy Fund Mar 31
SH-PF19A-004-C,PF-0019A,INS-0024,2026-03-31,10000000,8600000,USD,7998000,7.4,Structured,Principal At Risk Note,JB Note Mar 31
SH-PF19A-005-C,PF-0019A,INS-0021,2026-03-31,50000,18800000,USD,17484000,16.1,Equity,Single Stock,Microsoft Mar 31
SH-PF19A-006-C,PF-0019A,INS-0022,2026-03-31,30000,14600000,USD,13578000,12.5,Equity,Single Stock,Amazon Mar 31
SH-PF19A-007-C,PF-0019A,INS-0023,2026-03-31,20000,5700000,USD,5301000,4.9,Equity,Single Stock,Alphabet Mar 31
SH-PF19A-008-C,PF-0019A,INS-0038,2026-03-31,5000000,5000000,USD,4650000,4.3,Fixed Income,Government Bond,AD sovereign Mar 31
SH-PF19A-009-C,PF-0019A,INS-0039,2026-03-31,5000000,5000000,USD,4650000,4.3,Fixed Income,Sukuk,Aramco sukuk Mar 31
