snapshot_date,portfolio_id,client_id,instrument_id,instrument_name,asset_class,sub_asset_class,sector,region,instrument_ccy,quantity,price_local,market_value_local,portfolio_ccy,market_value_base,market_value_usd,weight_pct,avg_cost_local,cost_basis_base,unrealised_pnl_base,unrealised_pnl_pct,lending_value_base,advance_rate_pct,liquidity_tier,valuation_date,acquired_date
2025-12-31,PF-0001,CL-0001,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,30000,218.4,6552000.0,SGD,8452080.0,6552000.0,27.2027,172.0,6656400.0,1795680.0,26.98,5493852.0,65.0,Daily,2025-12-31,2019-04-08
2025-12-31,PF-0001,CL-0001,SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,40000,96.4,3856000.0,SGD,4974240.0,3856000.0,16.0094,81.4,4200240.0,774000.0,18.43,2984544.0,60.0,Daily,2025-12-31,2019-04-08
2025-12-31,PF-0001,CL-0001,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,4000,512.8,2051200.0,SGD,2646048.0,2051200.0,8.5162,361.2,1863792.0,782256.0,41.97,1719931.2,65.0,Daily,2025-12-31,2022-06-15
2025-12-31,PF-0001,CL-0001,SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,45000,98.6,4437000.0,SGD,5723730.0,4437000.0,18.4216,101.3,5880465.0,-156735.0,-2.67,4292797.5,75.0,Daily,2025-12-31,2020-02-19
2025-12-31,PF-0001,CL-0001,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,25000,101.1,2527500.0,SGD,3260475.0,2527500.0,10.4937,99.8,3218550.0,41925.0,1.3,2771403.75,85.0,Daily,2025-12-31,2023-01-11
2025-12-31,PF-0001,CL-0001,SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,900,1860.0,1674000.0,SGD,2159460.0,1674000.0,6.9501,1512.0,1755432.0,404028.0,23.02,647838.0,30.0,Monthly,2025-12-31,2021-10-01
2025-12-31,PF-0001,CL-0001,SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,4000,398.2,1592800.0,SGD,2054712.0,1592800.0,6.613,214.6,1107336.0,947376.0,85.55,1232827.2,60.0,Daily,2025-12-31,2023-05-22
2025-12-31,PF-0001,CL-0001,SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,1800000,1.0,1800000.0,SGD,1800000.0,1395348.84,5.7932,1.0,1800000.0,0.0,0.0,1620000.0,90.0,Monthly,2025-12-31,2019-04-01
2026-02-27,PF-0001,CL-0001,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,30000,227.1,6813000.0,SGD,8925030.0,6813000.0,27.3079,172.0,6656400.0,2268630.0,34.08,5801269.5,65.0,Daily,2026-02-27,2019-04-08
2026-02-27,PF-0001,CL-0001,SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,40000,98.8,3952000.0,SGD,5177120.0,3952000.0,15.8404,81.4,4200240.0,976880.0,23.26,3106272.0,60.0,Daily,2026-02-27,2019-04-08
