instrument_id,instrument_name,asset_class,sub_asset_class,sector,region,currency,liquidity_tier,underlying_reference,sustainability_excluded,concentration_limit_applies,price_2025-12-31,price_2026-02-27,price_2026-03-31,price_2026-06-30,price_2026-08-26
SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,Daily,,N,N,218.4,227.1,223.0,234.2,238.0
SYN-EQ-0002,US Large Cap Core Fund,Equity,Developed Market Equity,Diversified,North America,USD,Daily,,N,N,342.5,356.3,349.9,367.7,373.6
SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,Daily,,N,N,512.8,556.4,539.1,573.6,592.1
SYN-EQ-0004,European Equity Fund,Equity,Developed Market Equity,Diversified,Europe,EUR,Daily,,N,N,178.2,182.4,175.1,181.9,184.5
SYN-EQ-0005,Japan Equity Fund,Equity,Developed Market Equity,Diversified,Japan,JPY,Daily,,N,N,28450.0,29180.0,28020.0,29610.0,30150.0
SYN-EQ-0006,Global Healthcare Equity Fund,Equity,Developed Market Equity,Health Care,Global,USD,Daily,,N,N,156.3,158.9,160.2,163.8,166.1
SYN-EQ-0007,Global Defence and Aerospace Equity Fund,Equity,Developed Market Equity,Industrials,Global,USD,Daily,,Y,N,244.1,258.8,302.7,320.2,327.1
SYN-EQ-0008,Global Energy Majors Equity Fund,Equity,Developed Market Equity,Energy,Global,USD,Daily,,Y,N,189.6,195.3,242.7,229.4,239.9
SYN-EQ-0009,Global Listed Infrastructure Fund,Equity,Developed Market Equity,Utilities,Global,USD,Daily,,N,N,132.4,134.1,138.9,137.2,139.8
SYN-EQ-0010,Global Luxury and Consumer Brands Fund,Equity,Developed Market Equity,Consumer Discretionary,Europe,EUR,Daily,,N,N,264.8,271.2,249.4,244.1,240.6
SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,Daily,,N,N,96.4,98.8,94.5,97.8,99.3
SYN-EQ-0021,Greater China Equity Fund,Equity,Emerging Market Equity,Diversified,Greater China,HKD,Daily,,N,N,142.6,144.1,137.2,141.0,143.2
SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,Daily,,N,N,88.9,91.3,87.6,92.4,94.1
SYN-EQ-0023,ASEAN Equity Fund,Equity,Emerging Market Equity,Diversified,Southeast Asia,SGD,Daily,,N,N,74.2,75.6,72.9,76.1,76.9
SYN-EQ-0024,Singapore REIT Income Fund,Equity,Real Estate Securities,Real Estate,Singapore,SGD,Daily,,N,N,118.5,119.1,113.8,111.9,110.2
SYN-EQ-0025,Asia Pacific Shipping and Logistics Fund,Equity,Emerging Market Equity,Industrials,Asia Pacific,USD,Daily,,N,N,108.3,110.5,128.9,122.4,130.1
SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,Daily,,Y,Y,8450.0,8720.0,11480.0,10920.0,11340.0
SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,Daily,,N,Y,428.6,486.2,452.3,471.8,498.4
SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,Daily,,N,Y,218.4,241.6,229.8,246.3,258.7
SYN-ST-0104,Pacific Orient Shipping Ltd,Equity,Single Stock,Industrials,Hong Kong,HKD,Daily,,N,Y,24.8,25.6,31.4,29.2,31.9
SYN-ST-0105,Sunrise Palm Resources Ltd,Equity,Single Stock,Consumer Staples,Southeast Asia,SGD,Daily,,Y,Y,3.42,3.51,3.88,3.74,3.81
SYN-ST-0106,Golden Harbour Properties Ltd,Equity,Single Stock,Real Estate,Hong Kong,HKD,Daily,,N,Y,18.6,18.4,15.9,14.7,14.1
SYN-ST-0107,Nordvind Industrial AB,Equity,Single Stock,Industrials,Europe,EUR,Daily,,N,Y,412.3,421.8,398.6,409.2,414.7
SYN-ST-0108,Kanto Pharma Holdings KK,Equity,Single Stock,Health Care,Japan,JPY,Daily,,N,Y,6840.0,6980.0,7120.0,7340.0,7480.0
SYN-ST-0109,Verdant Health Group Ltd,Equity,Single Stock,Health Care,Singapore,SGD,Daily,,N,Y,5.68,5.82,5.74,6.02,6.15
SYN-FI-0201,US Treasury 2.375% due 2045,Fixed Income,Government Bond,Sovereign,North America,USD,Daily,,N,N,68.4,70.1,62.8,59.9,58.2
SYN-FI-0202,US Treasury 4.125% due 2028,Fixed Income,Government Bond,Sovereign,North America,USD,Daily,,N,N,100.2,100.6,99.4,99.1,98.9
SYN-FI-0203,Global Investment Grade Corporate Bond Fund,Fixed Income,Investment Grade Credit,Corporate,Global,USD,Daily,,N,N,102.4,103.2,99.6,98.1,97.3
